elf_code,country_code,entity_legal_form
QQ49,CZ,Zdravotní pojišťovna (mimo VZP)
QS6A,CZ,Nadační fond
R2XE,CZ,Organizační jednotka mezinárodní nevládníorganizace
RBGQ,CZ,Evropské hospodářské zájmové sdružení
RHFQ,CZ,Družstevní podnik (s 1 zakladatelem)
RP0E,CZ,Obecní podnik
T1FT,CZ,Evropská družstevní společnost
T3Q1,CZ,Bytové družstvo
TNBA,CZ,Odštěpný závod zahraniční právnické osoby
U95A,CZ,Odštěpný závod zahraniční fyzické osoby
UFDA,CZ,Národní podnik
V6YH,CZ,Společná zájmová organizace družstev
VIE3,CZ,Zájmové sdružení právnických osob
VQU7,CZ,Organizační složka zahraniční nadace
WJ30,CZ,Družstevní podnik zemědělský
WL83,CZ,Zvláštní organizace pro zastoupení českých zájmů vmezinárodních nevládních organizacích
WO0T,CZ,Pobočná mezinárodní odborová organizace
WUFK,CZ,Odštěpný závod
WVZF,CZ,Účelová zahraničně obchodní organizace
XG70,CZ,Právnikcá osoba zřízená zvláštním zákonemzapisovaná do veřejného rejstříku
XRK7,CZ,"Politická strana, politické hnutí"
Y18E,CZ,Společný podnik
Z3BF,CZ,Zemědělské družstvo
ZQO8,CZ,Evropská společnost
ZU32,CZ,Jiné družstvo
5QS7,DK,Iværksætterselskab
7WRN,DK,Interessentskab
9KSX,DK,Partnerselskab
FUKI,DK,Enkeltmandsvirksomhed
FW7S,DK,Europæisk andelsselskab
GULL,DK,Selskab med begrænset ansvar
H8VP,DK,Anpartsselskab
LWOD,DK,Medarbejderinvesteringsselskab
NUL8,DK,Kommanditselskab
PZ6Y,DK,Andelsselskab med begrænset ansvar
TB2C,DK,Europæisk økonomisk firmagruppe
UA1O,DK,Europæisk selskab
WU7R,DK,Forening med begrænset ansvar
ZRPO,DK,Aktieselskab
1NKP,EE,Sihtasutus
3UPJ,EE,Füüsilisest isikust ettevõtja
6I0P,EE,Hooneühistu
752Q,EE,Euroopa äriühing
8ZQE,EE,Korteriühistu
9LJA,EE,Aktsiaselts
CKOS,EE,Usuline ühendus
GA3A,EE,Erakond
I1UP,EE,Täisühing
J34T,EE,Ametiühing
JC0Y,EE,Osaühing
LA47,EE,Euroopa majandushuviühing
LVEQ,EE,Usaldusühing
PMOF,EE,Loomeliit
PRTB,EE,Mittetulundusühing
RXTT,EE,Euroopa ühistu
VSEV,EE,Tulundusühistu
157O,FR,Régie d'une collectivité locale à caractéreadministratif
1B88,FR,SCP de médecins
1GNM,FR,Syndicat de salariés
1L24,FR,Autre société civile
1NF1,FR,SA nationale à conseil d'administration
1Q16,FR,Société créée de fait entre personnes physiques
1Y0C,FR,SARL d'attribution
211B,FR,Société coopérative agricole
29FA,FR,Institution interrégionale ou entente
2N4L,FR,(Autre) Collectivité territoriale
2NL6,FR,"État, collectivité ou établissement public étranger"
2ONM,FR,SA d'attribution à directoire
2WMP,FR,Autre personne morale de droit administratif
2XIK,FR,Mutuelle
34QS,FR,Autre personne morale de droit privé
3AZY,FR,Coopérative d'utilisation de matériel agricole encommun (CUMA)
3FCU,FR,Société d'exercice libéral par action simplifiée
3NJL,FR,Autre personne de droit privé inscrite au registredu commerce et des sociétés
3OK3,FR,SCP de notaires
3S6E,FR,Service départemental d'incendie et de secours(SDIS)
3XTE,FR,SARL coopérative de consommation
487E,FR,Établissement public local d'enseignement
491H,FR,Association non déclarée
4DZU,FR,Autre SARL coopérative
